Algorithm,Dataset,Time_Elapsed,Best_Value,Round,Category
greedy,dag101_MEDIUM_0,0.0,-inf,,dag101_MEDIUM
greedy,dag101_MEDIUM_0,16.35379719734192,-1939531.011000013,0.0,dag101_MEDIUM
greedy,dag101_MEDIUM_0,17.20861268043518,1702731.186599983,25000.0,dag101_MEDIUM
greedy,dag101_MEDIUM_0,17.21018409729004,1702731.186599983,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,0.0,-inf,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,14.50175666809082,899950.6219000171,1.0,dag101_MEDIUM
sghc,dag101_MEDIUM_0,24.5250084400177,899950.6219000171,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,34.53990387916565,899950.6219000171,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,44.177125692367554,1865159.198900004,1.0,dag101_MEDIUM
sghc,dag101_MEDIUM_0,54.19868230819702,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,64.19965314865112,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,74.22818422317505,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,84.25487732887268,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,94.2582302093506,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,104.2757968902588,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,114.28130435943604,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,124.28853702545166,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,134.3044741153717,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,144.31136655807495,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,154.3130600452423,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,164.32019305229187,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,174.32074642181396,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,184.33580112457275,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,194.344336271286,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,204.3494520187378,1865159.198900004,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,205.5520827770233,1865245.9937000084,8.0,dag101_MEDIUM
sghc,dag101_MEDIUM_0,215.5626347064972,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,225.5732426643372,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,235.57436156272888,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,245.5869038105011,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,255.5977568626404,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,265.60372853279114,1865245.9937000084,,dag101_MEDIUM
sghc,dag101_MEDIUM_0,3000.0,1865245.9937000084,,dag101_MEDIUM
sa,dag101_MEDIUM_0,0.0,-inf,,dag101_MEDIUM
sa,dag101_MEDIUM_0,24.838784217834476,-1214050.414999995,1.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,34.85985326766968,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,44.89983439445496,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,54.902007818222046,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,64.90974473953247,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,74.92384052276611,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,84.9377191066742,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,94.95306992530824,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,104.9700574874878,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,114.98160076141356,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,124.987473487854,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,134.98749446868896,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,144.99654269218445,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,155.0050265789032,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,165.00767827033997,-1214050.414999995,,dag101_MEDIUM
sa,dag101_MEDIUM_0,174.58874940872192,1539655.189200017,1.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,184.61724305152893,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,194.63178896903992,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,204.6452076435089,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,214.6558532714844,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,224.66192531585693,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,234.6959412097931,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,244.71090173721316,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,254.7209300994873,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,264.7267117500305,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,274.72947216033936,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,284.7392702102661,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,294.75345635414124,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,304.75881242752075,1539655.189200017,,dag101_MEDIUM
sa,dag101_MEDIUM_0,311.27260279655457,1833903.0253000343,2.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,321.28443336486816,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,331.3071160316468,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,341.32016587257385,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,351.3354587554932,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,361.3433341979981,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,371.34985184669495,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,381.3503749370575,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,391.3532514572144,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,401.37042760849,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,411.375853061676,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,421.3811354637146,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,431.3877284526825,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,441.3929533958435,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,451.4086933135986,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,461.4156975746155,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,471.42793107032776,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,481.4310402870178,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,491.44850730896,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,501.45059394836426,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,511.4513247013092,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,521.4664504528046,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,531.4750990867615,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,541.4828503131866,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,551.4905378818512,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,561.4962112903595,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,571.5065922737122,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,581.521279335022,1833903.0253000343,,dag101_MEDIUM
sa,dag101_MEDIUM_0,588.2161972522736,1835379.843300028,4.0,dag101_MEDIUM
sa,dag101_MEDIUM_0,598.2318930625916,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,608.2329015731812,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,618.2501287460327,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,628.2615170478821,1835379.843300028,,dag101_MEDIUM
sa,dag101_MEDIUM_0,638.2784259319305,1835379.843300028,,dag101_MEDIUM
