Category,Method_A,Method_B,Avg_Jaccard_Similarity
dag101_MEDIUM,greedy,greedy,1.0
dag101_MEDIUM,greedy,sghc,0.8448166268566214
dag101_MEDIUM,greedy,sa,0.9235691843819881
dag101_MEDIUM,greedy,sasa,0.891739427636652
dag101_MEDIUM,greedy,qp,0.7130372227937377
dag101_MEDIUM,greedy,qpbo,0.11353126335528213
dag101_MEDIUM,sghc,greedy,0.8448166268566214
dag101_MEDIUM,sghc,sghc,1.0
dag101_MEDIUM,sghc,sa,0.8940306387644942
dag101_MEDIUM,sghc,sasa,0.9075064288318065
dag101_MEDIUM,sghc,qp,0.7939877421140252
dag101_MEDIUM,sghc,qpbo,0.12274248660716487
dag101_MEDIUM,sa,greedy,0.9235691843819881
dag101_MEDIUM,sa,sghc,0.8940306387644942
dag101_MEDIUM,sa,sa,1.0
dag101_MEDIUM,sa,sasa,0.9471073020163142
dag101_MEDIUM,sa,qp,0.7494670143904889
dag101_MEDIUM,sa,qpbo,0.1128329304611424
dag101_MEDIUM,sasa,greedy,0.891739427636652
dag101_MEDIUM,sasa,sghc,0.9075064288318065
dag101_MEDIUM,sasa,sa,0.9471073020163142
dag101_MEDIUM,sasa,sasa,1.0
dag101_MEDIUM,sasa,qp,0.7739162091501028
dag101_MEDIUM,sasa,qpbo,0.11639640374269612
dag101_MEDIUM,qp,greedy,0.7130372227937377
dag101_MEDIUM,qp,sghc,0.7939877421140252
dag101_MEDIUM,qp,sa,0.7494670143904889
dag101_MEDIUM,qp,sasa,0.7739162091501028
dag101_MEDIUM,qp,qp,1.0
dag101_MEDIUM,qp,qpbo,0.13412509488913182
dag101_MEDIUM,qpbo,greedy,0.11353126335528213
dag101_MEDIUM,qpbo,sghc,0.12274248660716487
dag101_MEDIUM,qpbo,sa,0.1128329304611424
dag101_MEDIUM,qpbo,sasa,0.11639640374269612
dag101_MEDIUM,qpbo,qp,0.13412509488913182
dag101_MEDIUM,qpbo,qpbo,1.0
dag102_MEDIUM,greedy,greedy,1.0
dag102_MEDIUM,greedy,sghc,0.6539958115273653
dag102_MEDIUM,greedy,sa,0.8185609757916937
dag102_MEDIUM,greedy,sasa,0.7148277449771537
dag102_MEDIUM,greedy,qp,0.5956681094220754
dag102_MEDIUM,greedy,qpbo,0.2705150527200605
dag102_MEDIUM,sghc,greedy,0.6539958115273653
dag102_MEDIUM,sghc,sghc,1.0
dag102_MEDIUM,sghc,sa,0.7025487029671863
dag102_MEDIUM,sghc,sasa,0.7512309796557174
dag102_MEDIUM,sghc,qp,0.7101801906463652
dag102_MEDIUM,sghc,qpbo,0.31503517341358583
dag102_MEDIUM,sa,greedy,0.8185609757916937
dag102_MEDIUM,sa,sghc,0.7025487029671863
dag102_MEDIUM,sa,sa,1.0
dag102_MEDIUM,sa,sasa,0.780616971736306
dag102_MEDIUM,sa,qp,0.6510367686057277
dag102_MEDIUM,sa,qpbo,0.2793133511568067
dag102_MEDIUM,sasa,greedy,0.7148277449771537
dag102_MEDIUM,sasa,sghc,0.7512309796557174
dag102_MEDIUM,sasa,sa,0.780616971736306
dag102_MEDIUM,sasa,sasa,1.0
dag102_MEDIUM,sasa,qp,0.7274678176499196
dag102_MEDIUM,sasa,qpbo,0.30070366320537284
dag102_MEDIUM,qp,greedy,0.5956681094220754
dag102_MEDIUM,qp,sghc,0.7101801906463652
dag102_MEDIUM,qp,sa,0.6510367686057277
dag102_MEDIUM,qp,sasa,0.7274678176499196
dag102_MEDIUM,qp,qp,1.0
dag102_MEDIUM,qp,qpbo,0.333894100780398
dag102_MEDIUM,qpbo,greedy,0.2705150527200605
dag102_MEDIUM,qpbo,sghc,0.31503517341358583
dag102_MEDIUM,qpbo,sa,0.2793133511568067
dag102_MEDIUM,qpbo,sasa,0.30070366320537284
dag102_MEDIUM,qpbo,qp,0.333894100780398
dag102_MEDIUM,qpbo,qpbo,1.0
dag103_MEDIUM,greedy,greedy,1.0
dag103_MEDIUM,greedy,sghc,0.620780830871634
dag103_MEDIUM,greedy,sa,0.8047765389228964
dag103_MEDIUM,greedy,sasa,0.6853356371138232
dag103_MEDIUM,greedy,qp,0.5750563709165388
dag103_MEDIUM,greedy,qpbo,0.2584870836078845
dag103_MEDIUM,sghc,greedy,0.620780830871634
dag103_MEDIUM,sghc,sghc,1.0
dag103_MEDIUM,sghc,sa,0.6887630997716562
dag103_MEDIUM,sghc,sasa,0.7400576765004822
dag103_MEDIUM,sghc,qp,0.7155635900151965
dag103_MEDIUM,sghc,qpbo,0.2979794632099284
dag103_MEDIUM,sa,greedy,0.8047765389228964
dag103_MEDIUM,sa,sghc,0.6887630997716562
dag103_MEDIUM,sa,sa,1.0
dag103_MEDIUM,sa,sasa,0.753982576663601
dag103_MEDIUM,sa,qp,0.6335097367242609
dag103_MEDIUM,sa,qpbo,0.2680287140306256
dag103_MEDIUM,sasa,greedy,0.6853356371138232
dag103_MEDIUM,sasa,sghc,0.7400576765004822
dag103_MEDIUM,sasa,sa,0.753982576663601
dag103_MEDIUM,sasa,sasa,1.0
dag103_MEDIUM,sasa,qp,0.7209192713101761
dag103_MEDIUM,sasa,qpbo,0.2848009316437945
dag103_MEDIUM,qp,greedy,0.5750563709165388
dag103_MEDIUM,qp,sghc,0.7155635900151965
dag103_MEDIUM,qp,sa,0.6335097367242609
dag103_MEDIUM,qp,sasa,0.7209192713101761
dag103_MEDIUM,qp,qp,1.0
dag103_MEDIUM,qp,qpbo,0.31828096536808265
dag103_MEDIUM,qpbo,greedy,0.2584870836078845
dag103_MEDIUM,qpbo,sghc,0.2979794632099284
dag103_MEDIUM,qpbo,sa,0.2680287140306256
dag103_MEDIUM,qpbo,sasa,0.2848009316437945
dag103_MEDIUM,qpbo,qp,0.31828096536808265
dag103_MEDIUM,qpbo,qpbo,1.0
dag201_MEDIUM,greedy,greedy,1.0
dag201_MEDIUM,greedy,sghc,0.8384405280914494
dag201_MEDIUM,greedy,sa,0.8397074478898631
dag201_MEDIUM,greedy,sasa,0.8180837759815688
dag201_MEDIUM,greedy,qp,0.8076597812261027
dag201_MEDIUM,greedy,qpbo,0.7612210190971997
dag201_MEDIUM,sghc,greedy,0.8384405280914494
dag201_MEDIUM,sghc,sghc,1.0
dag201_MEDIUM,sghc,sa,0.8768965227006613
dag201_MEDIUM,sghc,sasa,0.8740449872354286
dag201_MEDIUM,sghc,qp,0.8539054041772377
dag201_MEDIUM,sghc,qpbo,0.7644952136769905
dag201_MEDIUM,sa,greedy,0.8397074478898631
dag201_MEDIUM,sa,sghc,0.8768965227006613
dag201_MEDIUM,sa,sa,1.0
dag201_MEDIUM,sa,sasa,0.8861334448381948
