source,target,cost
2477,50068,0.0000
2477,49439,0.0000
2477,13028,0.0000
2477,55111,0.0000
2477,55113,0.0000
2477,55114,0.0000
107296,95350,0.0000
107296,35468,0.0000
95290,89728,0.0000
95290,89726,0.0000
95290,74333,0.0000
95290,53089,0.0000
95290,89727,0.0000
95290,26479,0.0000
95290,120064,0.0000
95290,89729,0.0000
95291,3210,0.0000
95291,93070,0.0000
95291,25545,0.0000
95291,575,0.0000
95291,111931,0.0000
96318,89725,0.0000
96318,96758,0.0000
96318,17873,0.0000
96318,17874,0.0000
96318,35652,0.0000
98328,55453,0.0000
98328,89721,0.0000
98328,89722,0.0000
98328,89723,0.0000
98328,89724,0.0000
22501,48883,0.0000
22501,25346,0.0000
22501,27938,0.0000
22501,48889,0.0000
22501,89509,0.0000
7203,83879,0.0000
7203,47479,0.0000
7203,742,0.0000
7203,792,0.0000
7203,13015,0.0000
7203,3549,0.0000
7642,75055,0.0000
7642,35321,0.0000
7642,54624,0.0000
7642,7428,0.0000
7642,13005,0.0000
18501,41967,0.0000
18501,41955,0.0000
18501,41958,0.0000
18501,24101,0.0000
18501,78769,0.0000
18501,41961,0.0000
18501,41973,0.0000
39890,6626,0.0000
39890,23294,0.0000
39890,39893,0.0000
80894,80726,0.0000
80894,5493,0.0000
80894,80722,0.0000
80903,119861,0.0000
80903,80725,0.0000
80903,91599,0.0000
80903,15370,0.0000
80903,119862,0.0000
80903,49431,0.0000
80903,89462,0.0000
82745,2945,0.0000
82745,19617,0.0000
82745,74053,0.0000
82745,22618,0.0000
82745,74054,0.0000
108604,6235,0.0000
108604,75051,0.0000
108604,5546,0.0000
108604,31274,0.0000
104752,42419,0.0000
104752,42421,0.0000
104752,2582,0.0000
104752,2580,0.0000
104752,2584,0.0000
86439,88458,0.0000
86439,31275,0.0000
86439,85777,0.0000
86439,85778,0.0000
86439,6737,0.0000
92859,78056,0.0000
82741,31771,0.0000
82741,35510,0.0000
82741,10185,0.0000
82740,2353,0.0000
82740,8408,0.0000
82740,7841,0.0000
82740,13179,0.0000
82740,84560,0.0000
82740,84561,0.0000
82740,8365,0.0000
18502,74945,0.0000
18502,8185,0.0000
18502,18008,0.0000
18502,2695,0.0000
18502,18009,0.0000
18502,78335,0.0000
40233,25559,0.0000
40233,117763,0.0000
40233,293,0.0000
40233,117965,0.0000
40233,768,0.0000
40233,857,0.0000
109244,27633,0.0000
109244,27421,0.0000
109244,27635,0.0000
109244,479,0.0000
109244,120307,0.0000
46509,80248,0.0000
46509,15308,0.0000
46509,35824,0.0000
46509,7327,0.0000
46509,96027,0.0000
46509,35104,0.0000
82688,2647,0.0000
82688,82607,0.0000
82688,82603,0.0000
82688,12987,0.0000
82688,113492,0.0000
82688,82608,0.0000
82688,82606,0.0000
82688,82596,0.0000
82688,82600,0.0000
82690,82609,0.0000
82690,82610,0.0000
82692,23435,0.0000
82692,74425,0.0000
82692,23771,0.0000
82692,74366,0.0000
82694,30473,0.0000
82694,24278,0.0000
82694,25280,0.0000
82694,82613,0.0000
82696,82616,0.0000
82696,82617,0.0000
82696,82590,0.0000
82702,82593,0.0000
82702,15139,0.0000
82702,15140,0.0000
82702,82594,0.0000
82702,15143,0.0000
109258,16420,0.0000
109258,8153,0.0000
109258,6726,0.0000
109258,16421,0.0000
109258,28361,0.0000
109258,16317,0.0000
82698,76072,0.0000
82698,30847,0.0000
82698,105345,0.0000
82698,16446,0.0000
18733,120057,0.0000
18733,40927,0.0000
18733,17875,0.0000
18733,89725,0.0000
18733,17873,0.0000
18733,17874,0.0000
104675,4934,0.0000
104675,4767,0.0000
104675,36422,0.0000
104675,5729,0.0000
104675,32735,0.0000
104675,7887,0.0000
82708,3549,0.0000
82708,82592,0.0000
82708,97023,0.0000
82708,44241,0.0000
82708,96491,0.0000
82708,41116,0.0000
82710,90337,0.0000
82710,27140,0.0000
82710,118332,0.0000
82710,82588,0.0000
82710,118333,0.0000
82710,82589,0.0000
82710,82611,0.0000
82710,82602,0.0000
82710,82587,0.0000
39758,94802,0.0000
39758,95701,0.0000
39758,15837,0.0000
39758,81187,0.0000
39758,43593,0.0000
80883,75292,0.0000
80883,119247,0.0000
80883,80924,0.0000
80883,83768,0.0000
80883,13071,0.0000
80893,47587,0.0000
80893,47588,0.0000
80893,30838,0.0000
80893,80915,0.0000
80893,80918,0.0000
80893,80923,0.0000
80893,98502,0.0000
80893,4575,0.0000
80896,98207,0.0000
80896,80768,0.0000
80896,28551,0.0000
80896,28552,0.0000
80896,80770,0.0000
80901,74069,0.0000
80898,80841,0.0000
80898,80793,0.0000
80898,80780,0.0000
80898,12983,0.0000
80898,90821,0.0000
80898,80783,0.0000
83471,7969,0.0000
83471,83902,0.0000
81095,18012,0.0000
81095,47533,0.0000
81095,29951,0.0000
81095,49114,0.0000
81095,49118,0.0000
81095,80789,0.0000
81095,80790,0.0000
82730,44237,0.0000
82733,74327,0.0000
82733,27889,0.0000
82733,40355,0.0000
82733,55222,0.0000
82731,93193,0.0000
82731,76114,0.0000
82731,47572,0.0000
82731,82539,0.0000
82731,93195,0.0000
82731,11420,0.0000
82732,80252,0.0000
82732,24194,0.0000
82732,4159,0.0000
82732,31889,0.0000
82732,19619,0.0000
82732,19626,0.0000
82732,19606,0.0000
82732,19607,0.0000
82732,19608,0.0000
82734,19616,0.0000
82734,12882,0.0000
82734,98512,0.0000
82735,19615,0.0000
82735,18016,0.0000
82735,36168,0.0000
82735,19629,0.0000
82735,19618,0.0000
82735,26613,0.0000
82736,19621,0.0000
82736,98381,0.0000
82736,19627,0.0000
82737,24695,0.0000
82737,19612,0.0000
82737,19628,0.0000
82737,15550,0.0000
82737,5508,0.0000
82737,19613,0.0000
82738,19609,0.0000
82738,19610,0.0000
82738,89519,0.0000
82738,19630,0.0000
82738,19614,0.0000
82738,19611,0.0000
82738,19622,0.0000
82738,19623,0.0000
82738,19624,0.0000
82738,19625,0.0000
82739,24674,0.0000
82739,23388,0.0000
82739,19620,0.0000
82739,79669,0.0000
82739,6558,0.0000
82739,10233,0.0000
83472,84020,0.0000
83472,8876,0.0000
83472,84021,0.0000
828,96572,0.0000
828,74999,0.0000
828,75009,0.0000
828,75044,0.0000
828,75078,0.0000
828,901,0.0000
828,77873,0.0000
54463,28549,0.0000
54463,120066,0.0000
54463,81772,0.0000
54463,81977,0.0000
54463,82126,0.0000
104716,91859,0.0000
104716,10784,0.0000
104716,49015,0.0000
104716,91870,0.0000
104716,111259,0.0000
104938,73868,0.0000
104938,6830,0.0000
104938,6852,0.0000
104938,16542,0.0000
104938,73870,0.0000
104938,83104,0.0000
104938,73863,0.0000
82700,23359,0.0000
82700,15051,0.0000
82700,10105,0.0000
82700,39196,0.0000
82700,24371,0.0000
876,18154,0.0000
876,16070,0.0000
876,32067,0.0000
876,48888,0.0000
876,12980,0.0000
876,6493,0.0000
7759,7512,0.0000
7759,7624,0.0000
7759,50109,0.0000
18535,18013,0.0000
18535,15522,0.0000
18535,18014,0.0000
