source,target,cost
1,29798,0.0
1,77981,0.0
1,77982,0.0
1,77983,0.0
1,78038,0.0
2,11971,0.0
2,77776,0.0
2,89295,0.0
2,94527,0.0
2,106761,0.0
2,117956,0.0
3,78473,0.0
3,80727,0.0
3,80976,0.0
3,102885,0.0
3,102886,0.0
3,119679,0.0
4,3551,0.0
5,77450,0.0
5,77484,0.0
5,77494,0.0
5,77517,0.0
5,81652,0.0
5,90344,0.0
5,95818,0.0
7,109662,0.0
7,116421,0.0
7,116426,0.0
7,116428,0.0
7,116430,0.0
7,116435,0.0
7,116437,0.0
7,116439,0.0
9,11971,0.0
9,77776,0.0
9,89295,0.0
9,94527,0.0
9,105067,0.0
9,106761,0.0
9,117808,0.0
10,117765,0.0
10,117775,0.0
10,117808,0.0
10,117857,0.0
10,117950,0.0
10,117952,0.0
10,117956,0.0
11,117765,0.0
11,117775,0.0
11,117808,0.0
11,117857,0.0
11,117950,0.0
11,117952,0.0
12,117765,0.0
12,117775,0.0
12,117808,0.0
12,117814,0.0
12,117857,0.0
12,117950,0.0
12,117952,0.0
12,117956,0.0
13,117765,0.0
13,117775,0.0
13,117808,0.0
13,117857,0.0
13,117950,0.0
13,117952,0.0
13,117956,0.0
14,117765,0.0
14,117775,0.0
14,117857,0.0
14,117950,0.0
14,117952,0.0
14,117956,0.0
15,117765,0.0
15,117775,0.0
15,117808,0.0
15,117853,0.0
15,117857,0.0
15,117950,0.0
15,117952,0.0
15,117956,0.0
16,35629,0.0
16,35630,0.0
16,35676,0.0
16,36172,0.0
16,39347,0.0
16,39475,0.0
16,39482,0.0
16,39501,0.0
17,17589,0.0
17,17591,0.0
17,17593,0.0
17,17959,0.0
17,39860,0.0
17,46214,0.0
18,17589,0.0
18,17591,0.0
18,17593,0.0
18,17959,0.0
18,39860,0.0
18,46214,0.0
19,17589,0.0
19,17591,0.0
19,17593,0.0
19,17959,0.0
19,39347,0.0
19,39501,0.0
19,39860,0.0
19,46214,0.0
19,46514,0.0
20,17589,0.0
20,17591,0.0
20,17593,0.0
20,17959,0.0
20,39860,0.0
20,46214,0.0
21,1275,0.0
21,2217,0.0
21,15776,0.0
21,15812,0.0
21,15813,0.0
21,17558,0.0
22,1275,0.0
22,2217,0.0
22,15776,0.0
22,15812,0.0
22,15813,0.0
23,17558,0.0
24,88193,0.0
24,116100,0.0
24,116112,0.0
24,116124,0.0
24,116136,0.0
24,116148,0.0
24,116160,0.0
25,88193,0.0
25,116100,0.0
25,116112,0.0
25,116124,0.0
25,116136,0.0
25,116148,0.0
25,116160,0.0
26,116100,0.0
26,116112,0.0
26,116124,0.0
26,116136,0.0
26,116148,0.0
26,116160,0.0
30,11686,0.0
30,94047,0.0
30,102861,0.0
30,102862,0.0
30,102863,0.0
30,118401,0.0
31,421,0.0
31,2211,0.0
31,2215,0.0
31,83646,0.0
31,85202,0.0
31,85234,0.0
92,752,0.0
92,10767,0.0
92,91692,0.0
92,91693,0.0
135,73915,0.0
136,73916,0.0
214,1348,0.0
214,1751,0.0
214,4138,0.0
214,8637,0.0
214,8640,0.0
214,8642,0.0
214,8852,0.0
215,990,0.0
215,8762,0.0
215,90851,0.0
216,1275,0.0
216,2217,0.0
216,15776,0.0
216,17558,0.0
217,2213,0.0
217,2214,0.0
217,40416,0.0
217,40438,0.0
217,40446,0.0
217,40447,0.0
218,421,0.0
218,2211,0.0
218,2215,0.0
218,83646,0.0
218,85043,0.0
218,85202,0.0
218,85234,0.0
219,286,0.0
219,313,0.0
219,324,0.0
