source,target,cost
1,28383,0.0
1,28384,0.0
1,28386,0.0
1,28391,0.0
1,28380,0.0
1,28393,0.0
1,28382,0.0
3,3962,0.0
3,40728,0.0
3,40729,0.0
3,40731,0.0
3,15393,0.0
5,43503,0.0
6,86991,0.0
9,46021,0.0
9,79366,0.0
9,102842,0.0
9,102843,0.0
9,102844,0.0
10,92452,0.0
10,52988,0.0
10,95647,0.0
10,98203,0.0
10,95419,0.0
10,113355,0.0
10,95518,0.0
11,14810,0.0
11,92915,0.0
11,92452,0.0
11,52988,0.0
11,95647,0.0
11,98203,0.0
11,95419,0.0
11,95518,0.0
12,92915,0.0
12,92452,0.0
12,52988,0.0
12,98203,0.0
12,95419,0.0
12,95518,0.0
15,31090,0.0
15,92452,0.0
15,52988,0.0
15,95647,0.0
15,98203,0.0
15,95419,0.0
15,113355,0.0
15,95518,0.0
16,92915,0.0
16,92452,0.0
16,52988,0.0
16,95647,0.0
16,98203,0.0
16,95419,0.0
16,113355,0.0
16,95518,0.0
17,43954,0.0
17,81812,0.0
17,82108,0.0
17,82109,0.0
17,13882,0.0
17,82110,0.0
18,43954,0.0
18,81812,0.0
18,82107,0.0
18,82108,0.0
18,82109,0.0
18,13882,0.0
18,82110,0.0
19,86933,0.0
19,80331,0.0
19,80326,0.0
19,79748,0.0
19,75243,0.0
19,75886,0.0
19,75824,0.0
20,86933,0.0
20,80331,0.0
20,80326,0.0
20,79748,0.0
20,75243,0.0
20,75824,0.0
21,42590,0.0
21,119458,0.0
21,95845,0.0
21,54030,0.0
21,48413,0.0
21,48432,0.0
22,42590,0.0
22,119458,0.0
22,118405,0.0
22,95845,0.0
22,54030,0.0
22,48413,0.0
22,48432,0.0
23,1803,0.0
23,48531,0.0
23,47026,0.0
23,719,0.0
23,720,0.0
24,1803,0.0
24,48531,0.0
24,47026,0.0
24,1802,0.0
24,720,0.0
25,47026,0.0
25,1802,0.0
25,719,0.0
25,720,0.0
26,1803,0.0
26,48531,0.0
26,47026,0.0
26,1802,0.0
26,719,0.0
26,720,0.0
27,722,0.0
27,723,0.0
27,721,0.0
27,695,0.0
27,696,0.0
27,697,0.0
28,722,0.0
28,723,0.0
28,721,0.0
28,695,0.0
28,696,0.0
29,34186,0.0
29,34187,0.0
29,34189,0.0
31,941,0.0
31,2215,0.0
31,13622,0.0
31,13624,0.0
31,2211,0.0
31,13639,0.0
32,23623,0.0
32,114978,0.0
32,27992,0.0
32,36108,0.0
32,114982,0.0
32,114987,0.0
33,23623,0.0
33,114978,0.0
33,27992,0.0
33,114982,0.0
33,114987,0.0
34,34186,0.0
34,34187,0.0
34,34189,0.0
53,7081,0.0
53,94325,0.0
53,120476,0.0
53,20315,0.0
53,20316,0.0
53,20317,0.0
53,20320,0.0
54,722,0.0
54,723,0.0
54,721,0.0
54,695,0.0
54,696,0.0
54,697,0.0
55,722,0.0
55,723,0.0
55,721,0.0
55,695,0.0
55,697,0.0
56,722,0.0
56,723,0.0
56,721,0.0
56,696,0.0
56,697,0.0
57,721,0.0
57,695,0.0
57,696,0.0
57,697,0.0
58,722,0.0
58,723,0.0
58,695,0.0
58,696,0.0
58,697,0.0
72,55435,0.0
72,53826,0.0
72,1812,0.0
72,1813,0.0
72,1878,0.0
72,1061,0.0
72,37943,0.0
73,55435,0.0
73,53826,0.0
73,1812,0.0
73,1813,0.0
73,1878,0.0
73,37943,0.0
74,53826,0.0
74,1812,0.0
74,1813,0.0
74,1878,0.0
74,1061,0.0
74,37943,0.0
75,96121,0.0
75,37944,0.0
75,119512,0.0
75,79342,0.0
75,79343,0.0
76,110900,0.0
76,96121,0.0
76,37944,0.0
76,119512,0.0
76,79342,0.0
76,79344,0.0
77,110900,0.0
77,37944,0.0
77,119512,0.0
77,79342,0.0
77,79343,0.0
77,79344,0.0
78,110900,0.0
78,96121,0.0
78,37944,0.0
78,79343,0.0
78,79344,0.0
79,110900,0.0
79,96121,0.0
79,37944,0.0
79,119512,0.0
79,79342,0.0
79,79343,0.0
80,110900,0.0
80,96121,0.0
80,37944,0.0
80,119512,0.0
80,79342,0.0
80,79343,0.0
80,79344,0.0
81,110900,0.0
81,96121,0.0
81,119512,0.0
81,79342,0.0
81,79343,0.0
81,79344,0.0
83,48597,0.0
83,34247,0.0
83,48586,0.0
83,48553,0.0
83,48625,0.0
84,48572,0.0
84,48599,0.0
84,34247,0.0
84,48553,0.0
88,39389,0.0
88,39390,0.0
88,39643,0.0
88,39644,0.0
88,52299,0.0
88,52300,0.0
89,39389,0.0
89,39390,0.0
89,39643,0.0
89,39644,0.0
89,52299,0.0
89,52300,0.0
103,6944,0.0
103,6943,0.0
103,6945,0.0
103,6947,0.0
103,6948,0.0
103,6949,0.0
104,6944,0.0
104,6943,0.0
104,6946,0.0
104,6948,0.0
104,6949,0.0
105,6944,0.0
105,6943,0.0
105,6945,0.0
105,6946,0.0
105,6947,0.0
105,6949,0.0
106,6944,0.0
106,6943,0.0
106,6945,0.0
106,6946,0.0
106,6947,0.0
106,6948,0.0
107,6944,0.0
107,6943,0.0
107,6945,0.0
107,6946,0.0
107,6947,0.0
107,6948,0.0
107,6949,0.0
108,6943,0.0
108,6945,0.0
108,6946,0.0
108,6947,0.0
108,6948,0.0
108,6949,0.0
109,6944,0.0
109,6945,0.0
109,6946,0.0
109,6947,0.0
109,6948,0.0
109,6949,0.0
115,51265,0.0
115,119457,0.0
115,120221,0.0
115,28581,0.0
115,28582,0.0
116,51265,0.0
116,120221,0.0
116,1592,0.0
116,5229,0.0
117,51265,0.0
117,1592,0.0
117,5229,0.0
118,119457,0.0
118,28581,0.0
118,28582,0.0
118,1592,0.0
119,51265,0.0
119,119457,0.0
119,120221,0.0
119,28581,0.0
119,28582,0.0
119,1592,0.0
119,5229,0.0
120,119457,0.0
120,120221,0.0
120,28581,0.0
120,28582,0.0
120,5229,0.0
121,51265,0.0
121,119457,0.0
121,120221,0.0
121,28581,0.0
