id,is_result,value,incoming_cost,layer,pos,channel,is_api
2477,False,0.0000,4.9018,0,0.3599,630,False
107296,False,0.0000,4.5632,0,0.4220,739,False
95290,False,0.0000,8.0753,0,0.3528,618,False
95291,False,0.0000,5.2948,0,0.6602,1156,False
96318,False,0.0000,7.2835,0,0.0215,37,False
98328,False,0.0000,8.6034,0,0.5700,998,False
22501,False,0.0000,9.8456,0,0.8095,1418,False
7203,False,0.0000,1.0000,0,0.6734,1179,False
7642,False,0.0000,2.8948,0,0.0689,120,False
18501,False,0.0000,6.2706,0,0.3302,578,False
39890,False,0.0000,6.1073,0,0.8321,1457,False
80894,False,0.0000,4.4461,0,0.0484,84,False
80903,False,0.0000,5.3068,0,0.8763,1535,False
82745,False,0.0000,7.3906,0,0.6100,1068,False
108604,False,0.0000,6.9152,0,0.2674,468,False
104752,False,0.0000,7.1566,0,0.5401,946,False
86439,False,0.0000,4.3971,0,0.7459,1306,False
92859,False,0.0000,7.5245,0,0.0833,145,False
82741,False,0.0000,4.8134,0,0.2680,469,False
82740,False,0.0000,8.5680,0,0.9822,1720,False
18502,False,0.0000,7.0187,0,0.8743,1531,False
40233,False,0.0000,7.2419,0,0.6356,1113,False
109244,False,0.0000,6.6037,0,0.2222,389,False
46509,False,0.0000,5.0629,0,0.6050,1059,False
82688,False,0.0000,7.2298,0,0.1476,258,False
82690,False,0.0000,5.5902,0,0.7721,1352,False
82692,False,0.0000,3.3894,0,0.3381,592,False
82694,False,0.0000,8.0750,0,0.5522,967,False
82696,False,0.0000,7.6930,0,0.7093,1242,False
82702,False,0.0000,3.4717,0,0.6309,1105,False
109258,False,0.0000,5.2672,0,0.7599,1331,False
82698,False,0.0000,4.3482,0,0.1840,322,False
18733,False,0.0000,3.6864,0,0.0216,37,False
104675,False,0.0000,1.0000,0,0.8714,1526,False
82708,False,0.0000,4.5514,0,0.6724,1178,False
82710,False,0.0000,4.6184,0,0.5158,903,False
39758,False,0.0000,8.8749,0,0.0435,76,False
80883,False,0.0000,5.4223,0,0.6680,1170,False
80893,False,0.0000,1.8117,0,0.9227,1616,False
80896,False,0.0000,3.7739,0,0.1622,284,False
80901,False,0.0000,3.2640,0,0.3868,677,False
80898,False,0.0000,3.4058,0,0.6057,1061,False
83471,False,0.0000,7.6009,0,0.8243,1444,False
81095,False,0.0000,8.8005,0,0.8655,1516,False
82730,False,0.0000,6.6695,0,0.7795,1365,False
82733,False,0.0000,7.7408,0,0.2976,521,False
82731,False,0.0000,10.5840,0,0.7680,1345,False
82732,False,0.0000,1.0000,0,0.4869,853,False
82734,False,0.0000,2.6232,0,0.7201,1261,False
82735,False,0.0000,10.8740,0,0.3697,647,False
82736,False,0.0000,8.6194,0,0.1539,269,False
82737,False,0.0000,9.4706,0,0.9736,1705,False
82738,False,0.0000,1.0000,0,0.1104,193,False
82739,False,0.0000,13.0579,0,0.3212,562,False
83472,False,0.0000,5.1149,0,0.5390,944,False
828,False,0.0000,5.1788,0,0.4237,742,False
54463,False,0.0000,11.4318,0,0.8839,1548,False
104716,False,0.0000,5.6425,0,0.0413,72,False
104938,False,0.0000,1.8267,0,0.8878,1555,False
82700,False,0.0000,1.6262,0,0.9312,1631,False
876,False,0.0000,9.6263,0,0.9677,1695,False
7759,False,0.0000,8.7459,0,0.7436,1302,False
18535,False,0.0000,5.3127,0,0.6129,1073,False
43401,False,0.0000,1.8277,0,0.1902,333,False
82716,False,0.0000,5.5318,0,0.5368,940,False
95987,False,0.0000,3.9454,0,0.6779,1187,False
108021,False,0.0000,1.0000,0,0.1426,249,False
1902,False,0.0000,10.4489,0,0.9050,1585,False
18316,False,0.0000,4.6314,0,0.8658,1516,False
104885,False,0.0000,2.2242,0,0.7645,1339,False
82706,False,0.0000,6.1537,0,0.9625,1686,False
80799,False,0.0000,1.1995,0,0.6847,1199,False
30698,False,0.0000,10.3169,0,0.7753,1358,False
77868,False,0.0000,1.0000,0,0.6681,1170,False
114729,False,0.0000,6.3610,0,0.9817,1719,False
82704,False,0.0000,7.0998,0,0.0187,32,False
29418,True,0.3115,1.0000,0,0.8201,1436,False
40551,False,0.0000,6.2446,0,0.5031,881,False
80891,False,0.0000,9.1341,0,0.9927,1739,False
80892,False,0.0000,5.7343,0,0.2382,417,False
80895,False,0.0000,2.8707,0,0.5972,1046,False
82718,False,0.0000,5.8678,0,0.5873,1028,False
1313,False,0.0000,6.7247,0,0.2379,416,False
