source,target,cost
3,78473,0.0
3,119679,0.0
3,80727,0.0
3,80976,0.0
3,102885,0.0
3,102886,0.0
7,109662,0.0
7,116428,0.0
7,116430,0.0
7,116435,0.0
7,116437,0.0
7,116421,0.0
7,116426,0.0
7,116439,0.0
30,94047,0.0
30,118401,0.0
30,102861,0.0
30,102862,0.0
30,11686,0.0
30,102863,0.0
32,35195,0.0
32,5026,0.0
32,74806,0.0
32,5027,0.0
33,5026,0.0
33,35225,0.0
33,5027,0.0
33,35213,0.0
65574,68373,0.0
65574,68379,0.0
65574,68370,0.0
65574,68406,0.0
65574,68407,0.0
65576,68373,0.0
65576,68370,0.0
65576,68402,0.0
65576,68406,0.0
65576,68407,0.0
65579,68373,0.0
65579,68379,0.0
65579,68370,0.0
65579,68402,0.0
65579,68406,0.0
65579,68407,0.0
65588,68373,0.0
65588,68379,0.0
65588,68370,0.0
65588,68402,0.0
65588,68406,0.0
65588,68407,0.0
65611,68373,0.0
65611,68379,0.0
65611,68370,0.0
65611,68402,0.0
65611,68406,0.0
65630,68379,0.0
65630,68370,0.0
65630,68402,0.0
65630,68407,0.0
65630,68504,0.0
65636,56841,0.0
65636,56869,0.0
65636,56876,0.0
65636,56874,0.0
65636,56875,0.0
65637,56841,0.0
65637,56869,0.0
65637,56874,0.0
65637,56875,0.0
65637,56944,0.0
65639,68408,0.0
65639,68423,0.0
65639,68435,0.0
65639,68440,0.0
65639,68443,0.0
65639,68461,0.0
65639,68504,0.0
65644,68373,0.0
65644,68379,0.0
65644,68402,0.0
65644,68406,0.0
65644,68407,0.0
65644,68423,0.0
65648,56841,0.0
65648,56869,0.0
65648,56876,0.0
65648,56874,0.0
65648,56875,0.0
65660,56841,0.0
65660,56869,0.0
65660,56876,0.0
65660,56874,0.0
65660,56875,0.0
65674,68408,0.0
65674,68423,0.0
65674,68435,0.0
65674,68440,0.0
65674,68443,0.0
65674,68461,0.0
65674,68504,0.0
65675,83698,0.0
65675,84975,0.0
65675,84976,0.0
65675,110263,0.0
65675,83695,0.0
65675,34802,0.0
65676,56841,0.0
65676,56869,0.0
65676,56876,0.0
65676,56874,0.0
65676,56875,0.0
65681,83698,0.0
65681,84975,0.0
65681,84976,0.0
65681,110263,0.0
65681,83695,0.0
65681,34802,0.0
65689,83698,0.0
65689,84975,0.0
65689,84976,0.0
65689,110263,0.0
65689,83695,0.0
65689,34802,0.0
65690,83698,0.0
65690,84975,0.0
65690,84976,0.0
65690,83695,0.0
65690,34802,0.0
65696,83698,0.0
65696,84975,0.0
65696,84976,0.0
65696,110263,0.0
65696,83695,0.0
65696,34802,0.0
65700,56881,0.0
65700,56889,0.0
65700,56907,0.0
65700,56925,0.0
65700,56944,0.0
65700,56949,0.0
65700,56951,0.0
65704,56881,0.0
65704,56889,0.0
65704,56907,0.0
65704,56925,0.0
65704,56944,0.0
65704,56949,0.0
65704,56951,0.0
65707,68408,0.0
65707,68423,0.0
65707,68435,0.0
65707,68440,0.0
65707,68443,0.0
65707,68461,0.0
65707,68504,0.0
65709,56881,0.0
65709,56889,0.0
65709,56907,0.0
65709,56925,0.0
65709,56944,0.0
65709,56949,0.0
65709,56951,0.0
65713,56881,0.0
65713,56889,0.0
65713,56907,0.0
65713,56925,0.0
65713,56944,0.0
65713,56949,0.0
65713,56951,0.0
65721,83698,0.0
65721,84975,0.0
65721,84976,0.0
65721,110263,0.0
65721,34802,0.0
65748,56876,0.0
65748,56881,0.0
65748,56889,0.0
65748,56907,0.0
65748,56925,0.0
65748,56944,0.0
65748,56949,0.0
65748,56951,0.0
215,8762,0.0
215,105662,0.0
