Algorithm,Dataset,Time_Elapsed,Best_Value,Round
nghc,dag121037_MEDIUM_2,0.0,-inf,
nghc,dag121037_MEDIUM_2,1.239485502243042,-5620.840199999995,1.0
nghc,dag121037_MEDIUM_2,2.9892144203186035,649.2074999999451,1.0
nghc,dag121037_MEDIUM_2,5.21551513671875,1860.9469999999253,2.0
nghc,dag121037_MEDIUM_2,7.43908429145813,3121.5762999999474,3.0
nghc,dag121037_MEDIUM_2,9.68963074684143,6476.901900000292,4.0
nghc,dag121037_MEDIUM_2,12.458871126174927,10163.780900000374,5.0
nghc,dag121037_MEDIUM_2,15.173468351364136,19088.47860000013,6.0
nghc,dag121037_MEDIUM_2,17.878528594970703,25362.91069999981,7.0
nghc,dag121037_MEDIUM_2,19.986480474472046,41536.643899999945,8.0
nghc,dag121037_MEDIUM_2,22.553189516067505,51068.79110000009,9.0
nghc,dag121037_MEDIUM_2,25.292126655578613,145838.27290000033,10.0
nghc,dag121037_MEDIUM_2,27.486178159713745,178840.79199999987,11.0
nghc,dag121037_MEDIUM_2,29.99676489830017,205002.47190000038,12.0
nghc,dag121037_MEDIUM_2,31.67595148086548,225057.49360000007,13.0
nghc,dag121037_MEDIUM_2,33.3203182220459,230683.99950000236,14.0
nghc,dag121037_MEDIUM_2,34.92839765548706,242374.21160000146,15.0
nghc,dag121037_MEDIUM_2,36.88946056365967,258439.2827000022,16.0
nghc,dag121037_MEDIUM_2,39.2461519241333,260928.81430000172,17.0
nghc,dag121037_MEDIUM_2,41.22016167640686,264515.9152000033,18.0
nghc,dag121037_MEDIUM_2,43.17248272895813,271303.1908999995,19.0
nghc,dag121037_MEDIUM_2,44.76010489463806,273719.43049999984,20.0
nghc,dag121037_MEDIUM_2,46.32053565979004,276274.7708000017,21.0
nghc,dag121037_MEDIUM_2,1000.0,276274.7708000017,
