source,target,penalty
121001,60971,131.2113
60971,121001,131.2113
121001,42833,131.2113
42833,121001,131.2113
121001,111787,131.2113
111787,121001,131.2113
60971,42833,131.2113
42833,60971,131.2113
60971,111787,131.2113
111787,60971,131.2113
42833,111787,131.2113
111787,42833,131.2113
106267,79366,115.3668
79366,106267,115.3668
106267,87557,115.3668
87557,106267,115.3668
106267,5265,115.3668
5265,106267,115.3668
106267,86167,115.3668
86167,106267,115.3668
79366,87557,115.3668
87557,79366,115.3668
79366,5265,115.3668
5265,79366,115.3668
79366,86167,115.3668
86167,79366,115.3668
87557,5265,115.3668
5265,87557,115.3668
87557,86167,115.3668
86167,87557,115.3668
5265,86167,115.3668
86167,5265,115.3668
109094,115406,123.3527
115406,109094,123.3527
109094,62077,123.3527
62077,109094,123.3527
109094,85380,123.3527
85380,109094,123.3527
115406,62077,123.3527
62077,115406,123.3527
115406,85380,123.3527
85380,115406,123.3527
62077,85380,123.3527
85380,62077,123.3527
121616,44014,141.2543
44014,121616,141.2543
121616,15088,141.2543
15088,121616,141.2543
44014,15088,141.2543
15088,44014,141.2543
44778,57302,164.1401
57302,44778,164.1401
44778,117317,164.1401
117317,44778,164.1401
44778,81105,164.1401
81105,44778,164.1401
44778,15250,164.1401
15250,44778,164.1401
57302,117317,164.1401
117317,57302,164.1401
57302,81105,164.1401
81105,57302,164.1401
57302,15250,164.1401
15250,57302,164.1401
117317,81105,164.1401
81105,117317,164.1401
117317,15250,164.1401
15250,117317,164.1401
81105,15250,164.1401
15250,81105,164.1401
55242,104940,163.0702
104940,55242,163.0702
55242,103333,163.0702
103333,55242,163.0702
55242,48420,163.0702
48420,55242,163.0702
104940,103333,163.0702
103333,104940,163.0702
104940,48420,163.0702
48420,104940,163.0702
103333,48420,163.0702
48420,103333,163.0702
119344,4426,18.0119
4426,119344,18.0119
119344,26747,18.0119
26747,119344,18.0119
4426,26747,18.0119
26747,4426,18.0119
108057,14449,76.8544
14449,108057,76.8544
108057,2927,76.8544
2927,108057,76.8544
108057,114471,76.8544
114471,108057,76.8544
108057,39262,76.8544
39262,108057,76.8544
14449,2927,76.8544
2927,14449,76.8544
14449,114471,76.8544
114471,14449,76.8544
14449,39262,76.8544
39262,14449,76.8544
2927,114471,76.8544
114471,2927,76.8544
2927,39262,76.8544
39262,2927,76.8544
114471,39262,76.8544
39262,114471,76.8544
62647,88046,86.7553
88046,62647,86.7553
62647,34265,86.7553
34265,62647,86.7553
62647,4118,86.7553
4118,62647,86.7553
88046,34265,86.7553
34265,88046,86.7553
88046,4118,86.7553
4118,88046,86.7553
34265,4118,86.7553
4118,34265,86.7553
103766,119196,115.9323
119196,103766,115.9323
103766,82599,115.9323
82599,103766,115.9323
103766,2589,115.9323
2589,103766,115.9323
119196,82599,115.9323
82599,119196,115.9323
119196,2589,115.9323
2589,119196,115.9323
82599,2589,115.9323
2589,82599,115.9323
69200,114879,79.5635
114879,69200,79.5635
69200,85559,79.5635
85559,69200,79.5635
114879,85559,79.5635
85559,114879,79.5635
57385,109052,104.0642
109052,57385,104.0642
57385,26978,104.0642
26978,57385,104.0642
57385,56135,104.0642
56135,57385,104.0642
109052,26978,104.0642
26978,109052,104.0642
109052,56135,104.0642
56135,109052,104.0642
26978,56135,104.0642
56135,26978,104.0642
98249,115518,132.5245
115518,98249,132.5245
98249,84436,132.5245
84436,98249,132.5245
98249,34343,132.5245
34343,98249,132.5245
98249,37389,132.5245
37389,98249,132.5245
115518,84436,132.5245
84436,115518,132.5245
115518,34343,132.5245
34343,115518,132.5245
115518,37389,132.5245
37389,115518,132.5245
84436,34343,132.5245
34343,84436,132.5245
84436,37389,132.5245
37389,84436,132.5245
34343,37389,132.5245
37389,34343,132.5245
64104,53827,126.2095
53827,64104,126.2095
64104,56733,126.2095
56733,64104,126.2095
64104,118551,126.2095
118551,64104,126.2095
53827,56733,126.2095
56733,53827,126.2095
53827,118551,126.2095
118551,53827,126.2095
56733,118551,126.2095
118551,56733,126.2095
42666,73436,272.5151
73436,42666,272.5151
42666,7205,272.5151
7205,42666,272.5151
73436,7205,272.5151
7205,73436,272.5151
43431,14109,190.5363
14109,43431,190.5363
43431,73431,190.5363
73431,43431,190.5363
43431,61192,190.5363
61192,43431,190.5363
43431,57789,190.5363
57789,43431,190.5363
14109,73431,190.5363
73431,14109,190.5363
14109,61192,190.5363
61192,14109,190.5363
14109,57789,190.5363
57789,14109,190.5363
73431,61192,190.5363
61192,73431,190.5363
73431,57789,190.5363
57789,73431,190.5363
61192,57789,190.5363
57789,61192,190.5363
122304,101681,97.7618
101681,122304,97.7618
122304,5131,97.7618
5131,122304,97.7618
122304,98357,97.7618
98357,122304,97.7618
101681,5131,97.7618
5131,101681,97.7618
101681,98357,97.7618
98357,101681,97.7618
5131,98357,97.7618
98357,5131,97.7618
59815,16902,266.3527
16902,59815,266.3527
59815,3837,266.3527
3837,59815,266.3527
59815,75712,266.3527
75712,59815,266.3527
59815,113899,266.3527
113899,59815,266.3527
16902,3837,266.3527
3837,16902,266.3527
16902,75712,266.3527
75712,16902,266.3527
16902,113899,266.3527
113899,16902,266.3527
3837,75712,266.3527
75712,3837,266.3527
3837,113899,266.3527
113899,3837,266.3527
75712,113899,266.3527
113899,75712,266.3527
119362,64493,137.7578
64493,119362,137.7578
119362,23686,137.7578
23686,119362,137.7578
64493,23686,137.7578
23686,64493,137.7578
43807,69179,122.0136
69179,43807,122.0136
43807,38040,122.0136
38040,43807,122.0136
69179,38040,122.0136
38040,69179,122.0136
