Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sasa,dag122458_MEDIUM_4,0.0,-inf,
sasa,dag122458_MEDIUM_4,5.960597038269043,-447711.1642000044,1.0
sasa,dag122458_MEDIUM_4,15.985805988311768,-447711.1642000044,
sasa,dag122458_MEDIUM_4,26.000812530517578,-447711.1642000044,
sasa,dag122458_MEDIUM_4,36.00503087043762,-447711.1642000044,
sasa,dag122458_MEDIUM_4,46.00503444671631,-447711.1642000044,
sasa,dag122458_MEDIUM_4,56.01154017448425,-447711.1642000044,
sasa,dag122458_MEDIUM_4,66.02480173110962,-447711.1642000044,
sasa,dag122458_MEDIUM_4,76.03722953796387,-447711.1642000044,
sasa,dag122458_MEDIUM_4,86.06059408187866,-447711.1642000044,
sasa,dag122458_MEDIUM_4,96.0720009803772,-447711.1642000044,
sasa,dag122458_MEDIUM_4,106.0722234249115,-447711.1642000044,
sasa,dag122458_MEDIUM_4,116.08293342590332,-447711.1642000044,
sasa,dag122458_MEDIUM_4,126.10790753364563,-447711.1642000044,
sasa,dag122458_MEDIUM_4,136.12139058113098,-447711.1642000044,
sasa,dag122458_MEDIUM_4,146.12797808647156,-447711.1642000044,
sasa,dag122458_MEDIUM_4,156.1490786075592,-447711.1642000044,
sasa,dag122458_MEDIUM_4,166.15954566001892,-447711.1642000044,
sasa,dag122458_MEDIUM_4,176.17506170272827,-447711.1642000044,
sasa,dag122458_MEDIUM_4,186.19534420967102,-447711.1642000044,
sasa,dag122458_MEDIUM_4,196.21115565299988,-447711.1642000044,
sasa,dag122458_MEDIUM_4,206.2366156578064,-447711.1642000044,
sasa,dag122458_MEDIUM_4,216.24369049072266,-447711.1642000044,
sasa,dag122458_MEDIUM_4,226.2489776611328,-447711.1642000044,
sasa,dag122458_MEDIUM_4,236.27107429504395,-447711.1642000044,
sasa,dag122458_MEDIUM_4,246.2859251499176,-447711.1642000044,
sasa,dag122458_MEDIUM_4,256.30918049812317,-447711.1642000044,
sasa,dag122458_MEDIUM_4,266.3213574886322,-447711.1642000044,
sasa,dag122458_MEDIUM_4,276.34075260162354,-447711.1642000044,
sasa,dag122458_MEDIUM_4,286.3657817840576,-447711.1642000044,
sasa,dag122458_MEDIUM_4,296.37049531936646,-447711.1642000044,
sasa,dag122458_MEDIUM_4,306.3808333873749,-447711.1642000044,
sasa,dag122458_MEDIUM_4,316.3890872001648,-447711.1642000044,
sasa,dag122458_MEDIUM_4,325.24680852890015,322757.7557002899,1.0
sasa,dag122458_MEDIUM_4,335.2679467201233,322757.7557002899,
sasa,dag122458_MEDIUM_4,345.28852701187134,322757.7557002899,
sasa,dag122458_MEDIUM_4,355.2984571456909,322757.7557002899,
sasa,dag122458_MEDIUM_4,365.2987747192383,322757.7557002899,
sasa,dag122458_MEDIUM_4,375.3065495491028,322757.7557002899,
sasa,dag122458_MEDIUM_4,385.32382011413574,322757.7557002899,
sasa,dag122458_MEDIUM_4,395.3500905036926,322757.7557002899,
sasa,dag122458_MEDIUM_4,405.3623399734497,322757.7557002899,
sasa,dag122458_MEDIUM_4,415.3892045021057,322757.7557002899,
sasa,dag122458_MEDIUM_4,425.4007976055145,322757.7557002899,
sasa,dag122458_MEDIUM_4,435.4211640357971,322757.7557002899,
sasa,dag122458_MEDIUM_4,445.4285681247711,322757.7557002899,
sasa,dag122458_MEDIUM_4,455.4467122554779,322757.7557002899,
sasa,dag122458_MEDIUM_4,465.46569061279297,322757.7557002899,
sasa,dag122458_MEDIUM_4,475.4730005264282,322757.7557002899,
sasa,dag122458_MEDIUM_4,485.4929463863373,322757.7557002899,
sasa,dag122458_MEDIUM_4,495.50643277168274,322757.7557002899,
sasa,dag122458_MEDIUM_4,505.5261001586914,322757.7557002899,
sasa,dag122458_MEDIUM_4,515.5421257019043,322757.7557002899,
sasa,dag122458_MEDIUM_4,525.5499742031097,322757.7557002899,
sasa,dag122458_MEDIUM_4,535.5702362060547,322757.7557002899,
sasa,dag122458_MEDIUM_4,545.5818219184875,322757.7557002899,
sasa,dag122458_MEDIUM_4,555.6005609035492,322757.7557002899,
sasa,dag122458_MEDIUM_4,565.6055467128754,322757.7557002899,
sasa,dag122458_MEDIUM_4,575.6056485176086,322757.7557002899,
sasa,dag122458_MEDIUM_4,585.6323368549347,322757.7557002899,
sasa,dag122458_MEDIUM_4,595.645617723465,322757.7557002899,
sasa,dag122458_MEDIUM_4,605.6634738445282,322757.7557002899,
sasa,dag122458_MEDIUM_4,615.6826014518738,322757.7557002899,
sasa,dag122458_MEDIUM_4,625.7081179618835,322757.7557002899,
sasa,dag122458_MEDIUM_4,635.7134490013123,322757.7557002899,
sasa,dag122458_MEDIUM_4,645.7242391109467,322757.7557002899,
sasa,dag122458_MEDIUM_4,655.7377338409424,322757.7557002899,
sasa,dag122458_MEDIUM_4,665.7465999126434,322757.7557002899,
sasa,dag122458_MEDIUM_4,675.7561902999878,322757.7557002899,
sasa,dag122458_MEDIUM_4,685.7571561336517,322757.7557002899,
sasa,dag122458_MEDIUM_4,695.7787311077118,322757.7557002899,
sasa,dag122458_MEDIUM_4,705.7996969223022,322757.7557002899,
sasa,dag122458_MEDIUM_4,715.8212916851044,322757.7557002899,
sasa,dag122458_MEDIUM_4,725.8334438800812,322757.7557002899,
sasa,dag122458_MEDIUM_4,735.8503031730652,322757.7557002899,
sasa,dag122458_MEDIUM_4,745.8531465530396,322757.7557002899,
sasa,dag122458_MEDIUM_4,755.8772444725037,322757.7557002899,
sasa,dag122458_MEDIUM_4,765.8896970748901,322757.7557002899,
sasa,dag122458_MEDIUM_4,775.9006052017212,322757.7557002899,
sasa,dag122458_MEDIUM_4,785.9150636196136,322757.7557002899,
sasa,dag122458_MEDIUM_4,795.9410486221313,322757.7557002899,
sasa,dag122458_MEDIUM_4,805.9573857784271,322757.7557002899,
sasa,dag122458_MEDIUM_4,815.9678461551666,322757.7557002899,
sasa,dag122458_MEDIUM_4,825.980651140213,322757.7557002899,
sasa,dag122458_MEDIUM_4,836.0035247802734,322757.7557002899,
sasa,dag122458_MEDIUM_4,846.0094683170319,322757.7557002899,
sasa,dag122458_MEDIUM_4,856.0183322429657,322757.7557002899,
sasa,dag122458_MEDIUM_4,866.0320565700531,322757.7557002899,
sasa,dag122458_MEDIUM_4,876.044536113739,322757.7557002899,
sasa,dag122458_MEDIUM_4,886.059033870697,322757.7557002899,
sasa,dag122458_MEDIUM_4,896.0631492137909,322757.7557002899,
sasa,dag122458_MEDIUM_4,906.0900723934174,322757.7557002899,
sasa,dag122458_MEDIUM_4,916.1122124195099,322757.7557002899,
sasa,dag122458_MEDIUM_4,926.1129989624023,322757.7557002899,
sasa,dag122458_MEDIUM_4,936.1245636940002,322757.7557002899,
sasa,dag122458_MEDIUM_4,946.1300175189972,322757.7557002899,
sasa,dag122458_MEDIUM_4,956.1306667327881,322757.7557002899,
sasa,dag122458_MEDIUM_4,966.1450583934784,322757.7557002899,
sasa,dag122458_MEDIUM_4,976.15709400177,322757.7557002899,
sasa,dag122458_MEDIUM_4,986.1767938137054,322757.7557002899,
sasa,dag122458_MEDIUM_4,996.2000422477722,322757.7557002899,
sasa,dag122458_MEDIUM_4,1000.0150713920593,322757.7557002899,
