Algorithm,Dataset,Time_Elapsed,Best_Value,Round
mf,dag122485_MEDIUM_1,0.0,-inf,
mf,dag122485_MEDIUM_1,99.2420060634613,118431.08190000377,1.0
mf,dag122485_MEDIUM_1,186.30352807044983,256313.0044000003,2.0
mf,dag122485_MEDIUM_1,277.5433716773987,267206.25050000317,3.0
mf,dag122485_MEDIUM_1,361.74907875061035,277128.683700002,4.0
mf,dag122485_MEDIUM_1,452.89953112602234,277128.683700002,
mf,dag122485_MEDIUM_1,537.3641438484192,277128.683700002,
mf,dag122485_MEDIUM_1,626.0936422348022,277128.683700002,
mf,dag122485_MEDIUM_1,723.283994436264,277128.683700002,
mf,dag122485_MEDIUM_1,806.7952044010162,277128.683700002,
mf,dag122485_MEDIUM_1,887.782639503479,277128.683700002,
mf,dag122485_MEDIUM_1,973.4978039264679,277128.683700002,
mf,dag122485_MEDIUM_1,1054.651826620102,277128.683700002,
