Algorithm,Dataset,Time_Elapsed,Best_Value,Round
qpbo,dag122485_MEDIUM_4,0.0,-inf,
qpbo,dag122485_MEDIUM_4,217.15150570869446,124032.60410000011,QPBO_Base
qpbo,dag122485_MEDIUM_4,231.60919952392578,124335.17290000012,Greedy_Add_100
qpbo,dag122485_MEDIUM_4,233.77339553833008,124916.0933000001,Greedy_Add_115
qpbo,dag122485_MEDIUM_4,236.3638322353363,125483.74430000008,Greedy_Add_133
qpbo,dag122485_MEDIUM_4,236.94388842582703,125898.69829999999,Greedy_Add_137
qpbo,dag122485_MEDIUM_4,237.80933547019958,126094.61690000002,Greedy_Add_143
qpbo,dag122485_MEDIUM_4,244.02550101280212,126629.02990000014,Greedy_Add_186
qpbo,dag122485_MEDIUM_4,255.3243796825409,127049.14930000008,Greedy_Add_263
qpbo,dag122485_MEDIUM_4,260.8279263973236,127173.01000000013,Greedy_Add_301
qpbo,dag122485_MEDIUM_4,266.7710144519806,127483.62060000002,Greedy_Add_342
qpbo,dag122485_MEDIUM_4,285.4676034450531,127755.09250000003,Greedy_Add_471
qpbo,dag122485_MEDIUM_4,287.0661942958832,127865.90800000002,Greedy_Add_482
qpbo,dag122485_MEDIUM_4,290.84874629974365,128091.45129999999,Greedy_Add_508
qpbo,dag122485_MEDIUM_4,292.16419315338135,128457.52279999998,Greedy_Add_517
qpbo,dag122485_MEDIUM_4,295.36152696609497,128689.47009999998,Greedy_Add_539
qpbo,dag122485_MEDIUM_4,295.5082712173462,128901.43229999999,Greedy_Add_540
qpbo,dag122485_MEDIUM_4,297.41095876693726,129282.65899999999,Greedy_Add_553
qpbo,dag122485_MEDIUM_4,299.74352955818176,129338.48459999994,Greedy_Add_569
qpbo,dag122485_MEDIUM_4,307.04513478279114,129697.8422999999,Greedy_Add_619
qpbo,dag122485_MEDIUM_4,318.4483759403229,130035.86979999975,Greedy_Add_697
qpbo,dag122485_MEDIUM_4,319.32844614982605,130372.80429999973,Greedy_Add_703
qpbo,dag122485_MEDIUM_4,331.75771737098694,130690.75569999983,Greedy_Add_788
qpbo,dag122485_MEDIUM_4,336.00101256370544,130992.81979999985,Greedy_Add_817
qpbo,dag122485_MEDIUM_4,344.208722114563,131032.53179999985,Greedy_Add_873
qpbo,dag122485_MEDIUM_4,347.1420741081238,131048.46159999992,Greedy_Add_893
qpbo,dag122485_MEDIUM_4,353.0201985836029,131338.50689999992,Greedy_Add_933
qpbo,dag122485_MEDIUM_4,354.63410353660583,131450.08930000002,Greedy_Add_944
qpbo,dag122485_MEDIUM_4,357.572452545166,131589.0214,Greedy_Add_964
qpbo,dag122485_MEDIUM_4,360.21525025367737,131871.70780000003,Greedy_Add_982
qpbo,dag122485_MEDIUM_4,361.24476408958435,132152.8296,Greedy_Add_989
qpbo,dag122485_MEDIUM_4,361.8364214897156,132433.4445,Greedy_Add_993
qpbo,dag122485_MEDIUM_4,362.7236213684082,132712.3669,Greedy_Add_999
qpbo,dag122485_MEDIUM_4,370.243914604187,132981.91080000004,Greedy_Add_1050
qpbo,dag122485_MEDIUM_4,370.3918011188507,133085.63900000002,Greedy_Add_1051
qpbo,dag122485_MEDIUM_4,376.0079710483551,133331.2153000001,Greedy_Add_1089
qpbo,dag122485_MEDIUM_4,376.1632151603699,133593.15760000012,Greedy_Add_1090
qpbo,dag122485_MEDIUM_4,376.75504183769226,133689.72580000004,Greedy_Add_1094
qpbo,dag122485_MEDIUM_4,378.68108081817627,133932.96430000008,Greedy_Add_1107
qpbo,dag122485_MEDIUM_4,380.3085868358612,134049.65560000006,Greedy_Add_1118
qpbo,dag122485_MEDIUM_4,387.70776200294495,134296.453,Greedy_Add_1168
qpbo,dag122485_MEDIUM_4,388.3039872646332,134390.17010000002,Greedy_Add_1172
qpbo,dag122485_MEDIUM_4,391.4105134010315,134632.26040000003,Greedy_Add_1193
qpbo,dag122485_MEDIUM_4,398.23427391052246,134805.67529999997,Greedy_Add_1239
qpbo,dag122485_MEDIUM_4,399.8662796020508,134843.76719999997,Greedy_Add_1250
qpbo,dag122485_MEDIUM_4,405.06572341918945,135060.77599999995,Greedy_Add_1285
qpbo,dag122485_MEDIUM_4,410.5598690509796,135278.34359999988,Greedy_Add_1322
qpbo,dag122485_MEDIUM_4,413.8355321884155,135492.8194999999,Greedy_Add_1344
qpbo,dag122485_MEDIUM_4,415.02482175827026,135705.65169999993,Greedy_Add_1352
qpbo,dag122485_MEDIUM_4,415.91932129859924,135930.78560000003,Greedy_Add_1358
qpbo,dag122485_MEDIUM_4,419.9464747905731,136138.23750000005,Greedy_Add_1385
qpbo,dag122485_MEDIUM_4,421.28876209259033,136343.94040000002,Greedy_Add_1394
qpbo,dag122485_MEDIUM_4,422.933709859848,136547.80300000004,Greedy_Add_1405
qpbo,dag122485_MEDIUM_4,428.4538486003876,136745.41980000003,Greedy_Add_1442
qpbo,dag122485_MEDIUM_4,429.34977197647095,136942.2939000001,Greedy_Add_1448
qpbo,dag122485_MEDIUM_4,430.99766087532043,137127.5267000001,Greedy_Add_1459
qpbo,dag122485_MEDIUM_4,432.496622800827,137141.40480000013,Greedy_Add_1469
qpbo,dag122485_MEDIUM_4,432.7973382472992,137147.42800000013,Greedy_Add_1471
qpbo,dag122485_MEDIUM_4,439.5214264392853,137331.90970000013,Greedy_Add_1516
qpbo,dag122485_MEDIUM_4,448.18980407714844,137497.42470000012,Greedy_Add_1574
qpbo,dag122485_MEDIUM_4,457.61029624938965,137656.75310000006,Greedy_Add_1637
qpbo,dag122485_MEDIUM_4,464.18672037124634,137805.76750000007,Greedy_Add_1681
qpbo,dag122485_MEDIUM_4,475.4144802093506,137955.4069000001,Greedy_Add_1756
qpbo,dag122485_MEDIUM_4,475.71575140953064,138084.11700000006,Greedy_Add_1758
