Algorithm,Dataset,Time_Elapsed,Best_Value,Round
sa,dag122485_MEDIUM_4,0.0,-inf,
sa,dag122485_MEDIUM_4,1.4133946895599365,-234821.86730000298,1.0
sa,dag122485_MEDIUM_4,11.421215057373047,-234821.86730000298,
sa,dag122485_MEDIUM_4,14.660653114318848,278945.6819999979,1.0
sa,dag122485_MEDIUM_4,24.663687467575073,278945.6819999979,
sa,dag122485_MEDIUM_4,25.892744779586792,282985.38089999964,2.0
sa,dag122485_MEDIUM_4,35.89829182624817,282985.38089999964,
sa,dag122485_MEDIUM_4,45.90023398399353,282985.38089999964,
sa,dag122485_MEDIUM_4,50.08127975463867,286436.46159999724,4.0
sa,dag122485_MEDIUM_4,60.08628821372986,286436.46159999724,
sa,dag122485_MEDIUM_4,70.08917284011841,286436.46159999724,
sa,dag122485_MEDIUM_4,80.09646153450012,286436.46159999724,
sa,dag122485_MEDIUM_4,90.1023280620575,286436.46159999724,
sa,dag122485_MEDIUM_4,100.10461044311523,286436.46159999724,
sa,dag122485_MEDIUM_4,110.10997247695923,286436.46159999724,
sa,dag122485_MEDIUM_4,115.72541546821594,287815.2427000006,9.0
sa,dag122485_MEDIUM_4,125.73117184638977,287815.2427000006,
sa,dag122485_MEDIUM_4,135.73284697532654,287815.2427000006,
sa,dag122485_MEDIUM_4,145.73530077934265,287815.2427000006,
sa,dag122485_MEDIUM_4,155.73588609695435,287815.2427000006,
sa,dag122485_MEDIUM_4,165.73665642738342,287815.2427000006,
sa,dag122485_MEDIUM_4,175.74487566947937,287815.2427000006,
sa,dag122485_MEDIUM_4,185.74601292610168,287815.2427000006,
sa,dag122485_MEDIUM_4,195.7473042011261,287815.2427000006,
sa,dag122485_MEDIUM_4,205.75424718856812,287815.2427000006,
sa,dag122485_MEDIUM_4,215.75565028190613,287815.2427000006,
sa,dag122485_MEDIUM_4,225.76191926002502,287815.2427000006,
sa,dag122485_MEDIUM_4,235.7672083377838,287815.2427000006,
