[INFO] 2026-04-06 13:51:57,164 - Starting Full-Scale Sensitivity Pipeline...
[INFO] 2026-04-06 13:51:57,164 - Processing: depth-low | Version: 0
[INFO] 2026-04-06 13:52:08,481 -     > Built Manifold: Nodes=490896, Edges=2368347
[INFO] 2026-04-06 13:52:24,678 - Processing: depth-low | Version: 1
[INFO] 2026-04-06 13:52:36,168 -     > Built Manifold: Nodes=492179, Edges=2374644
[INFO] 2026-04-06 13:52:52,360 - Processing: depth-low | Version: 2
[INFO] 2026-04-06 13:53:04,220 -     > Built Manifold: Nodes=490896, Edges=2368760
[INFO] 2026-04-06 13:53:20,871 - Processing: depth-medium | Version: 0
[INFO] 2026-04-06 13:53:35,421 -     > Built Manifold: Nodes=478507, Edges=2335305
[INFO] 2026-04-06 13:53:46,934 - Processing: depth-medium | Version: 1
[INFO] 2026-04-06 13:54:02,847 -     > Built Manifold: Nodes=471249, Edges=2295449
[INFO] 2026-04-06 13:54:14,193 - Processing: depth-medium | Version: 2
[INFO] 2026-04-06 13:54:28,128 -     > Built Manifold: Nodes=478179, Edges=2332778
[INFO] 2026-04-06 13:54:39,549 - Processing: depth-high | Version: 0
[INFO] 2026-04-06 13:54:54,244 -     > Built Manifold: Nodes=467413, Edges=2277574
[INFO] 2026-04-06 13:55:05,451 - Processing: depth-high | Version: 1
[INFO] 2026-04-06 13:55:20,512 -     > Built Manifold: Nodes=472119, Edges=2303224
[INFO] 2026-04-06 13:55:31,953 - Processing: depth-high | Version: 2
[INFO] 2026-04-06 13:55:45,623 -     > Built Manifold: Nodes=471784, Edges=2302490
[INFO] 2026-04-06 13:55:57,001 - Processing: density-low | Version: 0
[INFO] 2026-04-06 13:56:08,134 -     > Built Manifold: Nodes=464691, Edges=643365
[INFO] 2026-04-06 13:56:13,188 - Processing: density-low | Version: 1
[INFO] 2026-04-06 13:56:23,663 -     > Built Manifold: Nodes=476989, Edges=660294
[INFO] 2026-04-06 13:56:28,851 - Processing: density-low | Version: 2
[INFO] 2026-04-06 13:56:38,804 -     > Built Manifold: Nodes=472496, Edges=655031
[INFO] 2026-04-06 13:56:43,919 - Processing: density-medium | Version: 0
[INFO] 2026-04-06 13:56:56,517 -     > Built Manifold: Nodes=477076, Edges=2326057
[INFO] 2026-04-06 13:57:07,846 - Processing: density-medium | Version: 1
[INFO] 2026-04-06 13:57:21,908 -     > Built Manifold: Nodes=478388, Edges=2334098
[INFO] 2026-04-06 13:57:33,305 - Processing: density-medium | Version: 2
[INFO] 2026-04-06 13:57:47,643 -     > Built Manifold: Nodes=464989, Edges=2261553
[INFO] 2026-04-06 13:57:58,678 - Processing: density-high | Version: 0
[INFO] 2026-04-06 13:58:20,461 -     > Built Manifold: Nodes=495123, Edges=5009106
[INFO] 2026-04-06 13:58:45,092 - Processing: density-high | Version: 1
[INFO] 2026-04-06 13:59:04,176 -     > Built Manifold: Nodes=473818, Edges=4768998
[INFO] 2026-04-06 13:59:27,446 - Processing: density-high | Version: 2
[INFO] 2026-04-06 13:59:48,095 -     > Built Manifold: Nodes=475728, Edges=4792060
[INFO] 2026-04-06 14:00:11,497 - Processing: products-low | Version: 0
[INFO] 2026-04-06 14:00:27,030 -     > Built Manifold: Nodes=466099, Edges=2267478
[INFO] 2026-04-06 14:00:33,986 - Processing: products-low | Version: 1
[INFO] 2026-04-06 14:00:48,024 -     > Built Manifold: Nodes=464754, Edges=2259739
[INFO] 2026-04-06 14:00:54,974 - Processing: products-low | Version: 2
[INFO] 2026-04-06 14:01:09,685 -     > Built Manifold: Nodes=472181, Edges=2301529
[INFO] 2026-04-06 14:01:16,687 - Processing: products-medium | Version: 0
[INFO] 2026-04-06 14:01:31,613 -     > Built Manifold: Nodes=476946, Edges=2325624
[INFO] 2026-04-06 14:01:43,190 - Processing: products-medium | Version: 1
[INFO] 2026-04-06 14:01:58,125 -     > Built Manifold: Nodes=472259, Edges=2300817
[INFO] 2026-04-06 14:02:09,573 - Processing: products-medium | Version: 2
[INFO] 2026-04-06 14:02:24,553 -     > Built Manifold: Nodes=471134, Edges=2295066
[INFO] 2026-04-06 14:02:35,747 - Processing: products-high | Version: 0
[INFO] 2026-04-06 14:02:51,001 -     > Built Manifold: Nodes=476433, Edges=2324335
[INFO] 2026-04-06 14:03:07,134 - Processing: products-high | Version: 1
[INFO] 2026-04-06 14:03:22,464 -     > Built Manifold: Nodes=469498, Edges=2286198
[INFO] 2026-04-06 14:03:38,039 - Processing: products-high | Version: 2
[INFO] 2026-04-06 14:03:53,762 -     > Built Manifold: Nodes=480067, Edges=2342764
[INFO] 2026-04-06 14:04:09,839 - Processing: conflicts-low | Version: 0
[INFO] 2026-04-06 14:04:24,120 -     > Built Manifold: Nodes=476326, Edges=2323001
[INFO] 2026-04-06 14:04:35,399 - Processing: conflicts-low | Version: 1
[INFO] 2026-04-06 14:04:50,874 -     > Built Manifold: Nodes=478687, Edges=2335983
[INFO] 2026-04-06 14:05:02,118 - Processing: conflicts-low | Version: 2
[INFO] 2026-04-06 14:05:17,682 -     > Built Manifold: Nodes=469081, Edges=2283837
[INFO] 2026-04-06 14:05:28,694 - Processing: conflicts-medium | Version: 0
[INFO] 2026-04-06 14:05:42,906 -     > Built Manifold: Nodes=473889, Edges=2310504
[INFO] 2026-04-06 14:05:54,197 - Processing: conflicts-medium | Version: 1
[INFO] 2026-04-06 14:06:09,668 -     > Built Manifold: Nodes=476579, Edges=2324306
[INFO] 2026-04-06 14:06:21,001 - Processing: conflicts-medium | Version: 2
[INFO] 2026-04-06 14:06:35,005 -     > Built Manifold: Nodes=477267, Edges=2328047
[INFO] 2026-04-06 14:06:46,398 - Processing: conflicts-high | Version: 0
[INFO] 2026-04-06 14:07:02,612 -     > Built Manifold: Nodes=464275, Edges=2257409
[INFO] 2026-04-06 14:07:14,164 - Processing: conflicts-high | Version: 1
[INFO] 2026-04-06 14:07:28,305 -     > Built Manifold: Nodes=478010, Edges=2331583
[INFO] 2026-04-06 14:07:40,339 - Processing: conflicts-high | Version: 2
[INFO] 2026-04-06 14:07:55,550 -     > Built Manifold: Nodes=471558, Edges=2297131
